Date,Amount,Normalized Amount,Type,Fund,Campaign,Appeal,Primary ZIP Code,Account Number,Total Donation,Num Months,Average Monthly Donation
1/24/2024,1670,7.64E-05,Soft Credit,Unrestricted,2023 ReMitts,Business Multi Channel,62306,19598,47830.72,4,11957.68
1/24/2024,1670,7.64E-05,Donation,Unrestricted,2023 ReMitts,Business Multi Channel,Unknown,13201,47830.72,4,11957.68
12/1/2023,1620,7.41E-05,Donation,Unrestricted,2023 ReMitts,Service Org Multi Channel,Unknown,13201,47830.72,4,11957.68
11/16/2023,1600,7.32E-05,Donation,Unrestricted,In-Kind,Individual Multi Channel,53711-2220,3746,1331842.88,20,66592.144
12/15/2023,1580,7.23E-05,Donation,Unrestricted,2023 ReMitts,Service Org Multi Channel,Unknown,13201,47830.72,4,11957.68
12/13/2023,1575,7.20E-05,Donation,Programs/Operations,2023 HOPE,Individual Multi Channel,53703-2565,7528,110700.59,3,36900.19667
5/16/2023,1545,7.07E-05,Soft Credit,Unrestricted,Support The River,Business Multi Channel,53590-9753,15043,4151322.47,21,197682.0224
5/16/2023,1545,7.07E-05,Donation,Unrestricted,Support The River,Business Multi Channel,53718,1865,4151322.47,21,197682.0224
2/3/2023,1545,7.07E-05,Donation,Unrestricted,Support The River,Individual Online,53711-5147,2401,4151322.47,21,197682.0224
1/31/2024,1504.16,6.88E-05,Donation,Unrestricted,Support The River,Individual Multi Channel,53555-1349,17205,4151322.47,21,197682.0224
9/18/2024,1500,6.86E-05,Donation,Unrestricted,Support The River,Individual Multi Channel,Unknown,338,4151322.47,21,197682.0224
9/15/2024,1500,6.86E-05,Donation,Unrestricted,2024 Sips & Slices,Individual Event,53704-2397,20434,49070.21,3,16356.73667
9/15/2024,1500,6.86E-05,Donation,Unrestricted,2024 Sips & Slices,Individual Online,Unknown,5241,49070.21,3,16356.73667
9/3/2024,1500,6.86E-05,Donation,Unrestricted,Support The River,Individual Multi Channel,53716-1812,2953,4151322.47,21,197682.0224
9/3/2024,1500,6.86E-05,Donation,Unrestricted,Support The River,Business Multi Channel,53209-3110,234,4151322.47,21,197682.0224
8/1/2024,1500,6.86E-05,Donation,Unrestricted,Support The River,Business Multi Channel,53209-3110,234,4151322.47,21,197682.0224
7/13/2024,1500,6.86E-05,Pledge Payment,Cap Camp Unrestricted,2023-2024 Recipe for Hope,Individual Multi Channel,53718-2761,225,15722436.67,21,748687.4605
7/9/2024,1500,6.86E-05,Donation,Unrestricted,Support The River,Individual Multi Channel,53713-1018,15472,4151322.47,21,197682.0224
7/3/2024,1500,6.86E-05,Donation,Cap Camp Unrestricted,2023-2024 Recipe for Hope,Business Multi Channel,53714-1242,4492,15722436.67,21,748687.4605
7/1/2024,1500,6.86E-05,Donation,Unrestricted,Support The River,Business Multi Channel,53209-3110,234,4151322.47,21,197682.0224
6/10/2024,1500,6.86E-05,Pledge,Cap Camp Unrestricted,2023-2024 Recipe for Hope,Business Multi Channel,53718,15471,15722436.67,21,748687.4605
6/3/2024,1500,6.86E-05,Pledge Payment,Cap Camp Unrestricted,2023-2024 Recipe for Hope,Business Multi Channel,53718,15471,15722436.67,21,748687.4605
6/3/2024,1500,6.86E-05,Donation,Unrestricted,Support The River,Business Multi Channel,53209-3110,234,4151322.47,21,197682.0224
5/22/2024,1500,6.86E-05,Donation,Cap Camp Unrestricted,2023-2024 Recipe for Hope,Individual Online,53718-2914,20080,15722436.67,21,748687.4605
5/1/2024,1500,6.86E-05,Donation,Unrestricted,Support The River,Business Multi Channel,53209-3110,234,4151322.47,21,197682.0224
4/1/2024,1500,6.86E-05,Donation,Unrestricted,Support The River,Business Multi Channel,53209-3110,234,4151322.47,21,197682.0224
3/1/2024,1500,6.86E-05,Donation,Unrestricted,Support The River,Business Multi Channel,53209-3110,234,4151322.47,21,197682.0224
2/26/2024,1500,6.86E-05,Donation,Programs/Operations,2024 Match Madness,Service Org Multi Channel,53704,695,63408.02,3,21136.00667
2/13/2024,1500,6.86E-05,Donation,Unrestricted,Support The River,Individual Multi Channel,53562-4082,3716,4151322.47,21,197682.0224
2/1/2024,1500,6.86E-05,Donation,Unrestricted,Support The River,Business Multi Channel,53209-3110,234,4151322.47,21,197682.0224
1/31/2024,1500,6.86E-05,Soft Credit,Unrestricted,Support The River,Individual Multi Channel,53597-8945,19211,4151322.47,21,197682.0224
1/18/2024,1500,6.86E-05,Donation,Unrestricted,Support The River,Foundation Multi Channel,53590-1085,3541,4151322.47,21,197682.0224
1/2/2024,1500,6.86E-05,Donation,Unrestricted,Support The River,Business Multi Channel,53209-3110,234,4151322.47,21,197682.0224
12/28/2023,1500,6.86E-05,Donation,Unrestricted,Support The River,Individual Online,53590-4248,3610,4151322.47,21,197682.0224
12/23/2023,1500,6.86E-05,Donation,Unrestricted,Support The River,Individual Online,53597-8945,19211,4151322.47,21,197682.0224
12/22/2023,1500,6.86E-05,Donation,Unrestricted,2023 Year-End,Individual Mailing,53559-9243,3047,99027.43,3,33009.14333
12/21/2023,1500,6.86E-05,Donation,Unrestricted,Support The River,Individual Multi Channel,53704-7071,3683,4151322.47,21,197682.0224
12/20/2023,1500,6.86E-05,Donation,Unrestricted,Support The River,Individual Multi Channel,53704-8635,3426,4151322.47,21,197682.0224
12/18/2023,1500,6.86E-05,Donation,Unrestricted,2023 Year-End,Individual Mailing,53593-9586,7649,99027.43,3,33009.14333
12/10/2023,1500,6.86E-05,Donation,Unrestricted,2023 Year-End,Individual Mailing,53703-1432,3155,99027.43,3,33009.14333
12/10/2023,1500,6.86E-05,Donation,Programs/Operations,2023 HOPE,Individual Mailing,53704-5929,3836,110700.59,3,36900.19667
12/7/2023,1500,6.86E-05,Donation,Unrestricted,Support The River,Business Multi Channel,55441-2621,7102,4151322.47,21,197682.0224
12/1/2023,1500,6.86E-05,Donation,Unrestricted,Support The River,Business Multi Channel,53209-3110,234,4151322.47,21,197682.0224
11/29/2023,1500,6.86E-05,Donation,Unrestricted,Support The River,Individual Multi Channel,Unknown,338,4151322.47,21,197682.0224
11/28/2023,1500,6.86E-05,Donation,Programs/Operations,2023 Giving Tuesday,Individual Online,53704-7071,3683,40447.5,1,40447.5
11/22/2023,1500,6.86E-05,Donation,Unrestricted,Support The River,Individual Multi Channel,Unknown,3828,4151322.47,21,197682.0224
11/11/2023,1500,6.86E-05,Donation,Programs/Operations,2023 HOPE,Individual Mailing,53704-1015,408,110700.59,3,36900.19667
11/3/2023,1500,6.86E-05,Soft Credit,Unrestricted,Support The River,Foundation Multi Channel,Unknown,338,4151322.47,21,197682.0224
11/3/2023,1500,6.86E-05,Donation,Unrestricted,Support The River,Foundation Multi Channel,19046-3531,4652,4151322.47,21,197682.0224
11/1/2023,1500,6.86E-05,Donation,Unrestricted,Support The River,Business Multi Channel,53209-3110,234,4151322.47,21,197682.0224
10/3/2023,1500,6.86E-05,Donation,Unrestricted,Support The River,Individual Multi Channel,53562-2391,6982,4151322.47,21,197682.0224
10/2/2023,1500,6.86E-05,Donation,Unrestricted,Support The River,Business Multi Channel,53209-3110,234,4151322.47,21,197682.0224
9/1/2023,1500,6.86E-05,Donation,Unrestricted,Support The River,Business Multi Channel,53209-3110,234,4151322.47,21,197682.0224
8/8/2023,1500,6.86E-05,Pledge,Cap Camp Unrestricted,2023-2024 Recipe for Hope,Individual Multi Channel,53562-2444,2638,15722436.67,21,748687.4605
8/1/2023,1500,6.86E-05,Donation,Unrestricted,Support The River,Business Multi Channel,53209-3110,234,4151322.47,21,197682.0224
7/3/2023,1500,6.86E-05,Donation,Unrestricted,Support The River,Business Multi Channel,53209-3110,234,4151322.47,21,197682.0224
6/28/2023,1500,6.86E-05,Donation,Unrestricted,Support The River,Individual Online,22314-6101,15372,4151322.47,21,197682.0224
6/1/2023,1500,6.86E-05,Donation,Unrestricted,Support The River,Business Multi Channel,53209-3110,234,4151322.47,21,197682.0224
5/1/2023,1500,6.86E-05,Donation,Unrestricted,Support The River,Business Multi Channel,53209-3110,234,4151322.47,21,197682.0224
4/3/2023,1500,6.86E-05,Donation,Unrestricted,Support The River,Business Multi Channel,53209-3110,234,4151322.47,21,197682.0224
3/1/2023,1500,6.86E-05,Donation,Unrestricted,Support The River,Business Multi Channel,53209-3110,234,4151322.47,21,197682.0224
2/1/2023,1500,6.86E-05,Donation,Unrestricted,Support The River,Business Multi Channel,53209-3110,234,4151322.47,21,197682.0224
1/19/2023,1500,6.86E-05,Donation,FAM,Support The River,Business Application,53705,12768,4151322.47,21,197682.0224
1/11/2023,1500,6.86E-05,Donation,Unrestricted,Support The River,Individual Online,53574-9727,2554,4151322.47,21,197682.0224
1/11/2023,1500,6.86E-05,Donation,Unrestricted,Support The River,Individual Multi Channel,53590-1085,3541,4151322.47,21,197682.0224
1/10/2023,1500,6.86E-05,Donation,Unrestricted,Support The River,Business Multi Channel,53704-4236,2508,4151322.47,21,197682.0224
1/8/2023,1500,6.86E-05,Donation,Unrestricted,Support The River,Business Multi Channel,53209-3110,234,4151322.47,21,197682.0224
1/31/2024,1481.15,6.77E-05,Soft Credit,Unrestricted,2023 ReMitts,Business Multi Channel,53711-2024,3323,47830.72,4,11957.68
1/31/2024,1481.15,6.77E-05,Donation,Unrestricted,2023 ReMitts,Business Multi Channel,Unknown,13201,47830.72,4,11957.68
5/30/2024,1474,6.74E-05,Donation,Cap Camp Unrestricted,2023-2024 Recipe for Hope,Individual Multi Channel,53532-9207,4824,15722436.67,21,748687.4605
12/29/2023,1415.72,6.47E-05,Donation,Unrestricted,Support The River,Business Multi Channel,53783-0001,1877,4151322.47,21,197682.0224
12/14/2023,1410,6.45E-05,Donation,Unrestricted,Support The River,Business Multi Channel,53717,18915,4151322.47,21,197682.0224
12/15/2023,1400,6.40E-05,Donation,Unrestricted,In-Kind,Business Multi Channel,54411,19192,1331842.88,20,66592.144
12/11/2023,1360.29,6.22E-05,Donation,Unrestricted,In-Kind,Individual Multi Channel,53532-2776,19120,1331842.88,20,66592.144
8/24/2023,1330.1,6.08E-05,Soft Credit,Unrestricted,Support The River,Individual Multi Channel,53523-9206,15365,4151322.47,21,197682.0224
8/24/2023,1330.1,6.08E-05,Donation,Unrestricted,Support The River,Individual Multi Channel,53719,15311,4151322.47,21,197682.0224
5/9/2023,1326.5,6.07E-05,Donation,Unrestricted,Support The River,Faith Comm Event,53708-0443,6980,4151322.47,21,197682.0224
5/26/2023,1316.93,6.02E-05,Donation,Unrestricted,Support The River,Service Org Multi Channel,53597,15253,4151322.47,21,197682.0224
4/20/2023,1311,6.00E-05,Donation,Unrestricted,Support The River,Business Multi Channel,53703,15103,4151322.47,21,197682.0224
12/3/2023,1302.55,5.96E-05,Donation,Unrestricted,Support The River,Individual Online,53713-2989,4061,4151322.47,21,197682.0224
2/23/2023,1300,5.94E-05,Donation,Unrestricted,Support The River,Individual Multi Channel,53597-2313,14072,4151322.47,21,197682.0224
7/13/2023,1299.98,5.94E-05,Donation,Unrestricted,In-Kind,Business Multi Channel,53593,15054,1331842.88,20,66592.144
10/19/2023,1289,5.89E-05,Donation,Cap Camp Unrestricted,2023-2024 Recipe for Hope,Individual Multi Channel,53716-3251,80,15722436.67,21,748687.4605
7/24/2023,1287.5,5.89E-05,Donation,Unrestricted,2023 Full Summer for All - Sponsor,Business Online,53711-1078,426,8901.5,1,8901.5
12/15/2023,1281,5.86E-05,Donation,Unrestricted,2023 ReMitts,Service Org Multi Channel,Unknown,13201,47830.72,4,11957.68
1/6/2023,1268,5.80E-05,Donation,Unrestricted,Support The River,Individual Online,Unknown,516,4151322.47,21,197682.0224
7/6/2024,1255,5.74E-05,Donation,Unrestricted,Support The River,Business Multi Channel,53705-4456,13254,4151322.47,21,197682.0224
3/29/2024,1250,5.72E-05,Donation,Unrestricted,Support The River,Individual Multi Channel,53718-9171,16130,4151322.47,21,197682.0224
3/25/2024,1250,5.72E-05,Donation,Programs/Operations,2024 Match Madness,Individual Multi Channel,53562-3674,1125,63408.02,3,21136.00667
1/5/2024,1250,5.72E-05,Donation,Unrestricted,Support The River,Individual Online,53711-5147,2401,4151322.47,21,197682.0224
12/3/2023,1250,5.72E-05,Donation,Unrestricted,Support The River,Business Multi Channel,53701-1365,3943,4151322.47,21,197682.0224
6/16/2023,1250,5.72E-05,Donation,Unrestricted,2023 Full Summer for All,Individual Mailing,53532-1770,2582,70078.75,4,17519.6875
1/24/2024,1247.8,5.71E-05,Soft Credit,Unrestricted,2023 ReMitts,Business Multi Channel,53560,19597,47830.72,4,11957.68
1/24/2024,1247.8,5.71E-05,Donation,Unrestricted,2023 ReMitts,Business Multi Channel,Unknown,13201,47830.72,4,11957.68
12/31/2023,1239,5.67E-05,Donation,Unrestricted,Support The River,Individual Online,53711,14360,4151322.47,21,197682.0224
7/19/2024,1220,5.58E-05,Donation,Unrestricted,Support The River,Business Multi Channel,53704-3000,7885,4151322.47,21,197682.0224
8/21/2024,1200,5.49E-05,Donation,Unrestricted,Support The River,Individual Multi Channel,53718-1956,5438,4151322.47,21,197682.0224
4/1/2024,1200,5.49E-05,Donation,Programs/Operations,In-Kind,Business Multi Channel,53718-6751,5387,1331842.88,20,66592.144
3/18/2024,1200,5.49E-05,Donation,Unrestricted,Support The River,Individual Multi Channel,53589-2092,2351,4151322.47,21,197682.0224
3/12/2024,1200,5.49E-05,Donation,Unrestricted,Support The River,Individual Multi Channel,53704-6070,702,4151322.47,21,197682.0224
1/5/2024,1200,5.49E-05,Donation,Unrestricted,In-Kind,Business Multi Channel,Unknown,19718,1331842.88,20,66592.144
12/16/2023,1200,5.49E-05,Soft Credit,Unrestricted,Support The River,Individual Multi Channel,10003-6219,19190,4151322.47,21,197682.0224
12/16/2023,1200,5.49E-05,Donation,Unrestricted,Support The River,Individual Multi Channel,53711-2131,9403,4151322.47,21,197682.0224
11/28/2023,1200,5.49E-05,Donation,Unrestricted,Support The River,Individual Mailing,53705-4581,14423,4151322.47,21,197682.0224
11/28/2023,1200,5.49E-05,Donation,Programs/Operations,2023 Giving Tuesday,Individual Online,53704-3327,3834,40447.5,1,40447.5
11/7/2023,1200,5.49E-05,Donation,Programs/Operations,2023 HOPE,Individual Multi Channel,53704-6070,702,110700.59,3,36900.19667
8/28/2023,1200,5.49E-05,Donation,Unrestricted,Support The River,Individual Multi Channel,53704-6070,702,4151322.47,21,197682.0224
6/10/2023,1200,5.49E-05,Donation,Unrestricted,2023 Full Summer for All,Individual Event,53561-9653,2375,70078.75,4,17519.6875
6/5/2023,1200,5.49E-05,Donation,Unrestricted,Support The River,Individual Multi Channel,53704-6070,702,4151322.47,21,197682.0224
5/10/2023,1200,5.49E-05,Donation,Unrestricted,Support The River,Individual Multi Channel,53589-2092,2351,4151322.47,21,197682.0224
3/28/2023,1200,5.49E-05,Donation,Programs/Operations,Match Madness 2023,Individual Online,53589-1813,3054,50093.11,1,50093.11
3/2/2023,1200,5.49E-05,Donation,Unrestricted,Support The River,Individual Multi Channel,53704-6070,702,4151322.47,21,197682.0224
4/7/2023,1187,5.43E-05,Donation,Unrestricted,Support The River,Business Multi Channel,Unknown,2337,4151322.47,21,197682.0224
1/27/2023,1177.75,5.39E-05,Donation,Unrestricted,Support The River,Foundation Multi Channel,10106-0001,2780,4151322.47,21,197682.0224
4/1/2024,1150,5.26E-05,Donation,Unrestricted,In-Kind,Business Multi Channel,53718-6751,5387,1331842.88,20,66592.144
8/4/2023,1150,5.26E-05,Donation,Unrestricted,Support The River,Business Multi Channel,53703-1479,13240,4151322.47,21,197682.0224
11/15/2023,1140,5.21E-05,Donation,Unrestricted,2023 ReMitts,Individual Event,Unknown,13201,47830.72,4,11957.68
1/7/2024,1135.75,5.19E-05,Donation,Unrestricted,Support The River,Individual Online,53523-9246,19258,4151322.47,21,197682.0224
12/19/2023,1104.65,5.05E-05,Pledge Payment,Cap Camp Unrestricted,2023-2024 Recipe for Hope,Individual Multi Channel,53508-9173,3858,15722436.67,21,748687.4605
9/1/2024,1100,5.03E-05,Recurring Donation Payment,Unrestricted,Support The River,Individual Online,53711-5527,67,4151322.47,21,197682.0224
8/1/2024,1100,5.03E-05,Recurring Donation Payment,Unrestricted,Support The River,Individual Online,53711-5527,67,4151322.47,21,197682.0224
7/1/2024,1100,5.03E-05,Recurring Donation Payment,Unrestricted,Support The River,Individual Online,53711-5527,67,4151322.47,21,197682.0224
6/1/2024,1100,5.03E-05,Recurring Donation Payment,Unrestricted,Support The River,Individual Online,53711-5527,67,4151322.47,21,197682.0224
5/1/2024,1100,5.03E-05,Recurring Donation Payment,Unrestricted,Support The River,Individual Online,53711-5527,67,4151322.47,21,197682.0224
4/1/2024,1100,5.03E-05,Recurring Donation Payment,Unrestricted,Support The River,Individual Online,53711-5527,67,4151322.47,21,197682.0224
3/1/2024,1100,5.03E-05,Recurring Donation Payment,Unrestricted,Support The River,Individual Online,53711-5527,67,4151322.47,21,197682.0224
2/1/2024,1100,5.03E-05,Recurring Donation Payment,Unrestricted,Support The River,Individual Online,53711-5527,67,4151322.47,21,197682.0224
1/1/2024,1100,5.03E-05,Recurring Donation Payment,Unrestricted,Support The River,Individual Online,53711-5527,67,4151322.47,21,197682.0224
12/1/2023,1100,5.03E-05,Recurring Donation Payment,Unrestricted,Support The River,Individual Online,53711-5527,67,4151322.47,21,197682.0224
11/15/2023,1100,5.03E-05,Soft Credit,Unrestricted,2023 ReMitts,Individual Event,Unknown,338,47830.72,4,11957.68
11/1/2023,1100,5.03E-05,Recurring Donation Payment,Unrestricted,Support The River,Individual Online,53711-5527,67,4151322.47,21,197682.0224
10/1/2023,1100,5.03E-05,Recurring Donation Payment,Unrestricted,Support The River,Individual Online,53711-5527,67,4151322.47,21,197682.0224
9/3/2023,1100,5.03E-05,Recurring Donation Payment,Unrestricted,Support The River,Individual Online,53711-5527,67,4151322.47,21,197682.0224
8/1/2023,1100,5.03E-05,Recurring Donation Payment,Unrestricted,Support The River,Individual Online,53711-5527,67,4151322.47,21,197682.0224
7/1/2023,1100,5.03E-05,Recurring Donation Payment,Unrestricted,Support The River,Individual Online,53711-5527,67,4151322.47,21,197682.0224
6/1/2023,1100,5.03E-05,Recurring Donation Payment,Unrestricted,Support The River,Individual Online,53711-5527,67,4151322.47,21,197682.0224
5/1/2023,1100,5.03E-05,Recurring Donation Payment,Unrestricted,Support The River,Individual Online,53711-5527,67,4151322.47,21,197682.0224
4/4/2023,1100,5.03E-05,Recurring Donation Payment,Unrestricted,Support The River,Individual Online,53711-5527,67,4151322.47,21,197682.0224
3/1/2023,1100,5.03E-05,Recurring Donation Payment,Unrestricted,Support The River,Individual Online,53711-5527,67,4151322.47,21,197682.0224
2/1/2023,1100,5.03E-05,Recurring Donation Payment,Unrestricted,Support The River,Individual Online,53711-5527,67,4151322.47,21,197682.0224
1/1/2023,1100,5.03E-05,Recurring Donation Payment,Unrestricted,Support The River,Individual Online,53711-5527,67,4151322.47,21,197682.0224
11/24/2023,1095.98,5.01E-05,Donation,Unrestricted,Support The River,Business Multi Channel,53783-0001,1877,4151322.47,21,197682.0224
3/8/2024,1095,5.01E-05,Donation,Unrestricted,Support The River,Faith Comm Multi Channel,53716-2716,4893,4151322.47,21,197682.0224
1/28/2024,1094.45,5.00E-05,Donation,Unrestricted,Support The River,Individual Online,53711-2845,5611,4151322.47,21,197682.0224
5/21/2024,1091.52,4.99E-05,Donation,Unrestricted,Support The River,Business Event,53589-3347,20085,4151322.47,21,197682.0224
12/20/2023,1088,4.98E-05,Soft Credit,Unrestricted,Support The River,Foundation Multi Channel,53590-9246,244,4151322.47,21,197682.0224
12/20/2023,1088,4.98E-05,Donation,Unrestricted,Support The River,Foundation Multi Channel,68508,2622,4151322.47,21,197682.0224
12/26/2023,1057.79,4.84E-05,Donation,Unrestricted,Support The River,Foundation Multi Channel,Unknown,309,4151322.47,21,197682.0224
4/18/2024,1050,4.80E-05,Donation,Unrestricted,In-Kind,Individual Multi Channel,53704-1423,1941,1331842.88,20,66592.144
11/29/2023,1045.71,4.78E-05,Donation,Unrestricted,Support The River,Individual Multi Channel,53711-1928,14383,4151322.47,21,197682.0224
7/4/2024,1040,4.76E-05,Donation,Unrestricted,Support The River,Individual Online,53726-3915,2377,4151322.47,21,197682.0224
7/3/2024,1040,4.76E-05,Donation,Unrestricted,Support The River,Individual Online,53711-3047,19834,4151322.47,21,197682.0224
6/12/2024,1040,4.76E-05,Donation,Unrestricted,Support The River,Individual Online,53711-1950,6859,4151322.47,21,197682.0224
5/30/2024,1040,4.76E-05,Donation,Unrestricted,Support The River,Individual Online,53562-4065,8854,4151322.47,21,197682.0224
11/14/2023,1039.5,4.75E-05,Soft Credit,Unrestricted,Support The River,Foundation Multi Channel,53704-5653,1439,4151322.47,21,197682.0224
11/14/2023,1039.5,4.75E-05,Donation,Unrestricted,Support The River,Foundation Multi Channel,Unknown,15169,4151322.47,21,197682.0224
5/17/2023,1035,4.73E-05,Donation,Unrestricted,Support The River,Individual Multi Channel,53705-4456,13254,4151322.47,21,197682.0224
7/25/2024,1033.6,4.73E-05,Donation,Unrestricted,2024 Sips & Slices,Individual Online,53704-1015,408,49070.21,3,16356.73667
5/15/2024,1032.5,4.72E-05,Donation,Cap Camp Unrestricted,2023-2024 Recipe for Hope,Individual Online,53704-7046,63,15722436.67,21,748687.4605
5/8/2024,1032.5,4.72E-05,Donation,Munch,Support The River,Individual Online,53949-8728,15606,4151322.47,21,197682.0224
4/29/2024,1032.5,4.72E-05,Donation,Unrestricted,Support The River,Individual Online,53562-4065,8854,4151322.47,21,197682.0224
4/19/2024,1032.5,4.72E-05,Donation,Unrestricted,Support The River,Individual Online,53704-7057,2500,4151322.47,21,197682.0224
3/15/2024,1032.5,4.72E-05,Donation,Unrestricted,Support The River,Individual Online,53590-2425,4841,4151322.47,21,197682.0224
3/8/2024,1032.5,4.72E-05,Donation,Programs/Operations,2024 Match Madness,Individual Online,53575-2677,2361,63408.02,3,21136.00667
3/5/2024,1032.5,4.72E-05,Pledge Payment,Cap Camp Unrestricted,2023-2024 Recipe for Hope,Individual Multi Channel,53528-9197,4912,15722436.67,21,748687.4605
1/29/2024,1032.5,4.72E-05,Donation,Unrestricted,Support The River,Individual Online,53717-2160,19610,4151322.47,21,197682.0224
1/1/2024,1032.5,4.72E-05,Donation,Unrestricted,Support The River,Individual Online,53588-9651,7793,4151322.47,21,197682.0224
12/31/2023,1032.5,4.72E-05,Donation,Unrestricted,Support The River,Individual Online,01776-2314,19284,4151322.47,21,197682.0224
12/31/2023,1032.5,4.72E-05,Donation,Unrestricted,Support The River,Individual Online,53717-1116,328,4151322.47,21,197682.0224
12/30/2023,1032.5,4.72E-05,Donation,Unrestricted,2023 Year-End,Individual Online,53704-4931,3558,99027.43,3,33009.14333
12/30/2023,1032.5,4.72E-05,Donation,Unrestricted,2023 Year-End,Individual Online,53718-8249,1069,99027.43,3,33009.14333
12/9/2023,1032.5,4.72E-05,Donation,Unrestricted,Support The River,Individual Online,53704-3825,19108,4151322.47,21,197682.0224
12/2/2023,1032.5,4.72E-05,Donation,Unrestricted,Support The River,Individual Online,53597-2233,3904,4151322.47,21,197682.0224
11/28/2023,1030,4.71E-05,Donation,Unrestricted,Support The River,Individual Online,53711-1950,6859,4151322.47,21,197682.0224
11/28/2023,1030,4.71E-05,Donation,Programs/Operations,2023 Giving Tuesday,Individual Online,53593-9278,14194,40447.5,1,40447.5
11/28/2023,1030,4.71E-05,Donation,Programs/Operations,2023 Giving Tuesday,Individual Online,53528-9197,4912,40447.5,1,40447.5
11/28/2023,1030,4.71E-05,Donation,Programs/Operations,2023 Giving Tuesday,Individual Online,53704-2780,4282,40447.5,1,40447.5
11/17/2023,1030,4.71E-05,Donation,Programs/Operations,2023 HOPE - Sponsor,Individual Online,53711-1078,426,11657.75,2,5828.875
11/14/2023,1030,4.71E-05,Donation,Unrestricted,Support The River,Individual Online,53593-8049,2505,4151322.47,21,197682.0224
11/8/2023,1030,4.71E-05,Donation,Programs/Operations,2023 HOPE - Sponsor,Business Online,53558-8700,15480,11657.75,2,5828.875
10/12/2023,1030,4.71E-05,Donation,Unrestricted,Support The River,Individual Online,53711-2230,76,4151322.47,21,197682.0224
7/18/2023,1030,4.71E-05,Donation,Unrestricted,2023 Full Summer for All,Individual Online,53711-2230,76,70078.75,4,17519.6875
5/4/2023,1030,4.71E-05,Donation,Unrestricted,Support The River,Individual Online,53711-5147,2401,4151322.47,21,197682.0224
3/19/2023,1030,4.71E-05,Donation,Programs/Operations,Match Madness 2023,Individual Online,53726-3915,2377,50093.11,1,50093.11
3/16/2023,1030,4.71E-05,Donation,Unrestricted,Support The River,Individual Online,53704-6026,3144,4151322.47,21,197682.0224
1/3/2023,1030,4.71E-05,Donation,Unrestricted,Support The River,Individual Online,22314-6101,14434,4151322.47,21,197682.0224
1/1/2023,1030,4.71E-05,Donation,Unrestricted,Support The River,Individual Online,53718-8249,1069,4151322.47,21,197682.0224
6/8/2023,1010,4.62E-05,Donation,Unrestricted,Support The River,Individual Multi Channel,53718-1956,5438,4151322.47,21,197682.0224
3/23/2023,1008.22,4.61E-05,Donation,Unrestricted,Support The River,Foundation Multi Channel,Unknown,309,4151322.47,21,197682.0224
9/19/2024,1000,4.57E-05,Donation,Unrestricted,Support The River,Individual Multi Channel,53562-1769,377,4151322.47,21,197682.0224
9/19/2024,1000,4.57E-05,Donation,Unrestricted,2024 Sips & Slices - Sponsor,Business Multi Channel,53716-3314,699,25600,5,5120
9/15/2024,1000,4.57E-05,Donation,Unrestricted,2024 Sips & Slices,Individual Event,53704-4752,2385,49070.21,3,16356.73667
9/15/2024,1000,4.57E-05,Donation,Unrestricted,2024 Sips & Slices,Individual Online,53590-9189,15509,49070.21,3,16356.73667
9/15/2024,1000,4.57E-05,Donation,Unrestricted,2024 Sips & Slices,Individual Online,53704-8637,18835,49070.21,3,16356.73667
9/15/2024,1000,4.57E-05,Donation,Unrestricted,2024 Sips & Slices,Individual Online,53561-9653,2375,49070.21,3,16356.73667
9/15/2024,1000,4.57E-05,Donation,Unrestricted,2024 Sips & Slices,Individual Online,53704-8637,18835,49070.21,3,16356.73667
9/15/2024,1000,4.57E-05,Donation,Unrestricted,2024 Sips & Slices,Individual Online,53711-6453,2706,49070.21,3,16356.73667
9/12/2024,1000,4.57E-05,Pledge Payment,Cap Camp Unrestricted,2023-2024 Recipe for Hope,Individual Multi Channel,53718-2761,225,15722436.67,21,748687.4605
9/9/2024,1000,4.57E-05,Soft Credit,Unrestricted,Support The River,Individual Multi Channel,Unknown,338,4151322.47,21,197682.0224
9/9/2024,1000,4.57E-05,Donation,Unrestricted,Support The River,Individual Multi Channel,Unknown,20084,4151322.47,21,197682.0224
9/1/2024,1000,4.57E-05,Donation,Cap Camp Unrestricted,2023-2024 Recipe for Hope,Individual Mailing,53711-2028,4268,15722436.67,21,748687.4605
8/27/2024,1000,4.57E-05,Soft Credit,Unrestricted,Support The River,Individual Multi Channel,Unknown,338,4151322.47,21,197682.0224
8/27/2024,1000,4.57E-05,Donation,Unrestricted,Support The River,Individual Multi Channel,94105,20096,4151322.47,21,197682.0224
8/23/2024,1000,4.57E-05,Soft Credit,Unrestricted,Support The River,Individual Multi Channel,Unknown,338,4151322.47,21,197682.0224
8/23/2024,1000,4.57E-05,Donation,Unrestricted,Support The River,Individual Multi Channel,Unknown,20084,4151322.47,21,197682.0224
8/19/2024,1000,4.57E-05,Donation,Unrestricted,Support The River,Individual Multi Channel,53562-1769,377,4151322.47,21,197682.0224
8/13/2024,1000,4.57E-05,Donation,Unrestricted,2024 Sips & Slices - Sponsor,Business Multi Channel,53711,20038,25600,5,5120
8/8/2024,1000,4.57E-05,Soft Credit,Unrestricted,Support The River,Individual Multi Channel,53593-9195,4290,4151322.47,21,197682.0224
